id,question,expected_answer,expected_source,expected_page,generated_answer,retrieved_sources,retrieved_pages
EVAL011,لماذا يجب تحويل البيانات الجيومكانية الحالية إلى SANSRS؟,بعد تعميم استخدام SANSRS يجب على الجهات تحويل بياناتها الجيومكانية الحالية إلى المرجع المكاني الوطني حتى تتمكن من استخدامها مستقبلاً ضمن المرجع الوطني.,SANSRS User Guideline,13,"Answer:
يجب تحويل البيانات الجيومكانية الحالية إلى SANSRS لأن بعد تعميم استخدام المرجع المكاني الوطني للمملكة، يتعين على الجهات التي تستخدم إطارات مرجعية مختلفة تحويل بياناتها المتوفرة حاليًا إلى المرجع الوطني حتى تتمكن من استخدامها ضمن الأنشطة والمشاريع التي تعتمد على SANSRS.

Source:
SANSRS User Guideline, page 13",SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline,13 | 3 | 8 | 23 | 2
EVAL012,ما نوعا البيانات الجيومكانية اللذان يناقشهما دليل التحويل إلى SANSRS؟,النقاط الجيوديسية وبيانات نظم المعلومات الجغرافية GIS من النوعين Vector وRaster.,SANSRS User Guideline,13,"Answer:
النقاط الجيوديسية (التي تُستخدم في التطبيقات الجيوديسية) وبيانات نظم المعلومات الجغرافية GIS (Raster & Vector).

Source:
SANSRS User Guideline, page 13",SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline,13 | 3 | 3 | 5 | 2
EVAL013,ما أكواد EPSG المسقطة لـ KSA-GRF17 في مناطق UTM من 36N إلى 40N؟,KSA-GRF17 / UTM zone 36N = 9356، zone 37N = 9357، zone 38N = 9358، zone 39N = 9359، zone 40N = 9360.,SANSRS User Guideline,22,"Answer:
KSA‑GRF17 projected EPSG codes for UTM zones 36N to 40N are:
- 9356 (UTM zone 36N)
- 9357 (UTM zone 37N)
- 9358 (UTM zone 38N)
- 9359 (UTM zone 39N)
- 9360 (UTM zone 40N)

Source:
Evidence 1, page 22",SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | Technical Guidelines for Cartography,22 | 25 | 22 | 20 | 15
EVAL014,ما مكونات جودة البيانات المذكورة في دليل Cartography؟,تشمل حداثة البيانات Currency والاتساق Consistency والاكتمال Completeness والدقة Accuracy.,Technical Guidelines for Cartography,20,"Answer:
المكونات المذكورة في دليل Cartography هي:  
- Currency  
- Consistency  
- Completeness  
- Accuracy  

Source: Technical Guidelines for Cartography, page 20",Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | National Geospatial Data Standards | Technical Guidelines for Cartography,20 | 7 | 39 | 19 | 18
EVAL015,ما متطلب الدقة الأفقية للمنتجات الكارتوغرافية؟,يجب أن تكون الدقة الأفقية ضمن 1.0 مم على مقياس الخريطة وبمستوى ثقة 90% للخطأ الدائري CE.,Technical Guidelines for Cartography,21,"Answer:
الحدّ الأقصى للدقة الأفقية للمنتجات الكارتوغرافية هو 1.0 مم عند مقياس الخريطة (مثلاً 5 متر عند 1:5,000) مع خطأ دائري (CE) عند مستوى ثقة 90 %.

Source:
Technical Guidelines for Cartography, page 21",Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography,21 | 7 | 3 | 13 | 11
EVAL016,ما أمثلة التعليقات الجغرافية أو العناصر المرتبطة بالمقياس في عرض الخريطة؟,من الأمثلة scale bar وmagnetic declination diagram وSlope Guide، كما يذكر الدليل symbol legend ضمن التعليقات غير الجغرافية.,Technical Guidelines for Cartography,24,"Answer:
Examples of geographic annotations or scale‑related elements in a map display include a scale note, a scale bar, unit of elevation, elevation contour information notes, grids, graticules, grid labels, a magnetic declination diagram, and a slope guide.

Source:
Technical Guidelines for Cartography, page 24; Technical Guidelines for Cartography, page 50",Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography,24 | 48 | 50 | 26 | 25
EVAL017,ما الذي تتضمنه طبقة Map Elements في Map Collar؟,تتضمن المعلومات خارج الـmap neatline باستثناء بيانات أنظمة الإحداثيات الكارتوغرافية، ومنها map title وscale bar وmap credit notes وشعارات GEOSA وغيرها.,Technical Guidelines for Cartography,27,"Answer:
طبقة Map Elements في Map Collar تتضمن جميع المعلومات الواقعة خارج الخط الخارجي للخرائط، باستثناء بيانات نظم الإحداثيات الجغرافية، وتشمل على سبيل المثال: عنوان الخريطة، شريط المقياس، ملاحظات الاعتماد، شعارات GEOSA، وغيرها.

Source:
Technical Guidelines for Cartography, page 27",Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography,27 | 23 | 28 | 20 | 32
EVAL018,ما المجلدات أو الطبقات التي يجب أن تكون موجودة في كل Geospatial PDF بحسب الدليل؟,يذكر الدليل أن Map Collar وMap Frame وImages يجب أن تكون مجلدات، وأن تحتوي بالحد الأدنى على الطبقات الفرعية المذكورة، وتوجد هذه المجلدات والطبقات في كل Geospatial PDF.,Technical Guidelines for Cartography,28,"Answer:
المجلدات/الطبقات التي يجب أن تكون موجودة في كل ملف Geospatial PDF هي:  
- Map Collar  
- Map Frame  
- Images  

Source: Technical Guidelines for Cartography, page 28.",Technical Guidelines for Cartography | National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards | Technical Guidelines for Cartography,28 | 15 | 11 | 15 | 27
EVAL019,ما المقصود بـLegibility في إدارة المساحات البيضاء للخريطة؟,قدرة المستخدم على رؤية وفهم ما يوجد على ورقة الخريطة، بحيث تكون النصوص والعناصر الرسومية مثل الخطوط والرموز سهلة العثور والفهم.,Technical Guidelines for Cartography,28,"Answer:
Legibility refers to the ability of the user to see and understand what is on the map sheet. It requires text and graphical elements—such as lines and symbols—to be easy to find and easy to understand, with visual contrast helping the eye and mind locate and distinguish features so they can be comprehended.

Source:
Technical Guidelines for Cartography, page 28.",Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | National Geospatial Governance Framework | National Geospatial Governance Framework,28 | 28 | 4 | 14 | 13
EVAL020,ما أنواع الـannotations التي يغطيها دليل Topographic Maps؟,يشمل Identification & Security Annotations وGeoreferencing Annotations مثل scale note وscale bar وData Quality Annotations وSymbol Legends.,Technical Guidelines for Cartography,50,"Answer:
دليل الخرائط الطبوغرافية يغطي الأنواع التالية من الـ annotations:
- Identification & Security Annotations (مثل اسم الورقة، اسم السلسلة، التعليقات الأمنية)
- Georefrencing Annotations (مثل ملاحظة المقياس، شريط المقياس، وحدة الارتفاع، ملاحظات خطوط الارتفاع)
- Data Quality Annotations
- Symbol Legends

Source:
Technical Guidelines for Cartography, page 50.",Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography | Technical Guidelines for Cartography,26 | 50 | 50 | 48 | 24
