index,id,question,expected_answer,expected_source,expected_page,expected_section,expected_topic,applicable_to,confidence,notes
10,EVAL011,لماذا يجب تحويل البيانات الجيومكانية الحالية إلى SANSRS؟,بعد تعميم استخدام SANSRS يجب على الجهات تحويل بياناتها الجيومكانية الحالية إلى المرجع المكاني الوطني حتى تتمكن من استخدامها مستقبلاً ضمن المرجع الوطني.,SANSRS User Guideline,13,Converting Geospatial Data to SANSRS,crs_conversion,vector,High,Relevant to CRS validation/explanation.
11,EVAL012,ما نوعا البيانات الجيومكانية اللذان يناقشهما دليل التحويل إلى SANSRS؟,النقاط الجيوديسية وبيانات نظم المعلومات الجغرافية GIS من النوعين Vector وRaster.,SANSRS User Guideline,13,Converting Geospatial Data to SANSRS,gis_conversion,general,High,Useful for explaining applicability to Meyaar vector data.
12,EVAL013,ما أكواد EPSG المسقطة لـ KSA-GRF17 في مناطق UTM من 36N إلى 40N؟,"KSA-GRF17 / UTM zone 36N = 9356، zone 37N = 9357، zone 38N = 9358، zone 39N = 9359، zone 40N = 9360.",SANSRS User Guideline,22,KSA-GRF17 EPSG Codes,epsg_codes,vector,High,Exact EPSG code retrieval test.
13,EVAL014,ما مكونات جودة البيانات المذكورة في دليل Cartography؟,تشمل حداثة البيانات Currency والاتساق Consistency والاكتمال Completeness والدقة Accuracy.,Technical Guidelines for Cartography,20,Data Quality,cartographic_data_quality,vision,High,Direct list from section 2.7.
14,EVAL015,ما متطلب الدقة الأفقية للمنتجات الكارتوغرافية؟,يجب أن تكون الدقة الأفقية ضمن 1.0 مم على مقياس الخريطة وبمستوى ثقة 90% للخطأ الدائري CE.,Technical Guidelines for Cartography,21,Accuracy - Horizontal Accuracy,horizontal_accuracy,vision,High,Quantitative requirement.
15,EVAL016,ما أمثلة التعليقات الجغرافية أو العناصر المرتبطة بالمقياس في عرض الخريطة؟,"من الأمثلة scale bar وmagnetic declination diagram وSlope Guide، كما يذكر الدليل symbol legend ضمن التعليقات غير الجغرافية.",Technical Guidelines for Cartography,24,Map Display,map_annotations,vision,High,Good retrieval test for map element context.
16,EVAL017,ما الذي تتضمنه طبقة Map Elements في Map Collar؟,"تتضمن المعلومات خارج الـmap neatline باستثناء بيانات أنظمة الإحداثيات الكارتوغرافية، ومنها map title وscale bar وmap credit notes وشعارات GEOSA وغيرها.",Technical Guidelines for Cartography,27,Layers - Map Collar,map_elements,vision,High,Directly useful for map-element detection.
17,EVAL018,ما المجلدات أو الطبقات التي يجب أن تكون موجودة في كل Geospatial PDF بحسب الدليل؟,"يذكر الدليل أن Map Collar وMap Frame وImages يجب أن تكون مجلدات، وأن تحتوي بالحد الأدنى على الطبقات الفرعية المذكورة، وتوجد هذه المجلدات والطبقات في كل Geospatial PDF.",Technical Guidelines for Cartography,28,Layers,geospatial_pdf_layers,vision,High,Applies specifically to KSA topographic geospatial PDF products.
18,EVAL019,ما المقصود بـLegibility في إدارة المساحات البيضاء للخريطة؟,"قدرة المستخدم على رؤية وفهم ما يوجد على ورقة الخريطة، بحيث تكون النصوص والعناصر الرسومية مثل الخطوط والرموز سهلة العثور والفهم.",Technical Guidelines for Cartography,28,White Space Management,legibility,vision,High,"Useful for visual-quality reasoning, without claiming a universal hard rule."
19,EVAL020,ما أنواع الـannotations التي يغطيها دليل Topographic Maps؟,يشمل Identification & Security Annotations وGeoreferencing Annotations مثل scale note وscale bar وData Quality Annotations وSymbol Legends.,Technical Guidelines for Cartography,50,Annotation Guidance for Topographic Maps,annotation_catalog,vision,High,Direct annotation-category retrieval test.
